COMPAÑIA,TARIFA,PRECIO_POTENCIA_P1,PRECIO_POTENCIA_P2,PRECIO_POTENCIA_P3,PRECIO_ENERGIA_P1,PRECIO_ENERGIA_P2,PRECIO_ENERGIA_P3,DERECHOS_ENGANCHE,ACTUALIZACION_DATOS
GANA ENERGIA,24 HRS,0.089,0.089,0.089,0.111,0.111,0.111,0.6,
GANA ENERGIA,3 PERIODOS,0.089,0.089,0.089,0.163,0.096,0.072,0.6,
WEKIWI,IMPULSA ENERGIA,0.092,0.092,0.092,0.129,0.129,0.129,0.6,
WEKIWI,PROMO,0.092,0.092,0.092,0.155,0.155,0.155,0.6,
ENDESA,LIBRE CON PERMANENCIA,0.088,0.088,0.088,0.109,0.109,0.109,0.6,
ENDESA,LIBRE SIN PERMANENCIA,0.088,0.088,0.088,0.119,0.119,0.119,0.6,
TOTAL ENERGIES,A TU AIRE SIEMPRE,0.071,0.071,0.071,0.134,0.134,0.134,0.6,
TOTAL ENERGIES,PROGRAMA TU AHORRO,0.071,0.071,0.071,0.201,0.132,0.096,0.6,
IBERDROLA,ONLINE,0.108,0.046,0.046,0.119,0.119,0.119,0.6,
NATURGY,POR USO,0.1102,0.03346,0.03346,0.1204,0.1204,0.1204,0.6,
NATURGY,NOCHE,0.1102,0.03346,0.03346,0.1904,0.1175,0.082,0.6,
HOLALUZ,HOLA ENERGIA,0.096,0.096,0.096,0.13,0.13,0.13,0.6,
ELEIA,BALANCE 2,0.081,0.081,0.081,0.119,0.119,0.119,0.6,
VISALIA,FIJO FLIX,0.082,0.082,0.082,0.135,0.135,0.135,0.6,
VISALIA,FIJO,0.098,0.098,0.098,0.123,0.123,0.123,0.6,
OPCION ENERGIA,PRESENCIAL,0.111,0.111,0.111,0.116,0.116,0.116,0.6,
IMAGINA,UNICO PLUS,0.127,0.059,0.059,0.134,0.134,0.134,0.6,
IMAGINA,3 PERIODOS PLUS,0.127,0.059,0.059,0.211,0.137,0.102,0.6,
NORDY,24 HORAS,0.079,0.079,0.079,0.119,0.119,0.119,0.6,
REPSOL,FIJO ALTO VALOR,0.081,0.081,0.081,0.139,0.139,0.139,0.6,
REPSOL,FIJO MEDIO VALOR,0.081,0.081,0.081,0.119,0.119,0.119,0.6,
REPSOL,FIJO BAJO VALOR,0.081,0.081,0.081,0.109,0.109,0.109,0.6,
ENUCA,ZURITA,0.129,0.072,0.072,0.09,0.09,0.09,0.6,
ENUCA,BARROS,0.129,0.072,0.072,0.1,0.1,0.1,0.6,
